               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.066321,             0.22011,           0.0033679,             0.98526,             0.47113,             0.49456,             0.28651,            0.062515,             0.13883,           0.0025375,           0.0067848,           0.0067848,            0.022285
                  94,            0.068688,             0.23092,           0.0034855,             0.97482,              0.4592,             0.48457,             0.25873,            0.073374,             0.14742,           0.0025567,           0.0068237,           0.0068237,            0.021424
                  95,            0.070211,             0.22755,           0.0036913,             0.98271,             0.47498,             0.49516,             0.29533,            0.063877,             0.13676,           0.0024661,           0.0068616,           0.0068616,            0.020562
                  96,            0.063797,             0.20059,           0.0030725,             0.98218,             0.46881,             0.49248,             0.29597,            0.064305,             0.13401,            0.002514,           0.0068986,           0.0068986,            0.019699
                  97,            0.070634,             0.22041,           0.0030685,             0.96445,             0.45261,             0.47597,             0.17267,             0.06691,             0.14633,           0.0026147,           0.0069346,           0.0069346,            0.018835
                  98,             0.06938,             0.23696,           0.0040672,             0.98098,             0.46844,             0.49304,             0.25014,            0.064476,             0.14328,           0.0025955,           0.0069697,           0.0069697,             0.01797
                  99,            0.069595,             0.22126,           0.0034584,              0.9662,             0.47267,             0.49398,             0.29686,            0.065043,             0.14856,           0.0024294,           0.0070038,           0.0070038,            0.017104
                 100,            0.069521,             0.21599,           0.0030333,             0.97785,             0.47383,             0.49426,             0.27304,            0.066342,             0.14215,           0.0024614,            0.007037,            0.007037,            0.016237
                 101,            0.074265,             0.22783,           0.0037258,             0.98331,              0.4796,             0.49447,             0.28182,            0.062645,             0.13838,           0.0024805,           0.0070692,           0.0070692,            0.015369
                 102,            0.068935,             0.21457,           0.0030587,             0.98572,             0.47149,             0.49203,             0.29119,            0.063548,             0.13912,           0.0024036,           0.0071005,           0.0071005,              0.0145
                 103,            0.066023,             0.21469,           0.0035408,             0.98625,             0.47649,             0.49647,             0.31134,             0.06197,             0.13255,           0.0024025,           0.0071308,           0.0071308,            0.013631
                 104,            0.063084,             0.20616,           0.0031088,              0.9782,             0.47344,             0.49457,             0.31197,            0.065268,              0.1346,           0.0024056,           0.0071601,           0.0071601,             0.01276
                 105,            0.069906,             0.21612,           0.0032967,             0.96974,             0.46605,              0.4894,              0.2624,            0.064926,             0.13831,           0.0024226,           0.0071884,           0.0071884,            0.011888
                 106,            0.068636,             0.23272,            0.003422,             0.97953,             0.46959,             0.49199,              0.2794,            0.066184,              0.1371,           0.0025668,           0.0072158,           0.0072158,            0.011016
                 107,            0.068246,             0.21058,           0.0032858,             0.96479,             0.44716,             0.48925,             0.30384,            0.068331,             0.13827,           0.0025352,           0.0072422,           0.0072422,            0.010142
                 108,            0.065717,             0.20632,           0.0031431,             0.97917,             0.46959,             0.49475,             0.30301,            0.067743,             0.13692,           0.0025373,           0.0072677,           0.0072677,           0.0092677
                 109,            0.072053,              0.2161,           0.0032168,             0.98263,             0.47267,             0.49616,             0.30857,            0.061163,             0.13437,           0.0025135,           0.0072922,           0.0072922,           0.0083922
                 110,            0.067423,             0.20791,           0.0035034,             0.98218,              0.4669,             0.49505,             0.30037,            0.063485,             0.13536,           0.0024488,           0.0073157,           0.0073157,           0.0075157
                 111,            0.065329,             0.19453,           0.0032501,             0.98291,             0.46882,             0.49447,             0.30781,            0.061036,             0.13542,           0.0024909,           0.0072872,           0.0072872,           0.0072872
                 112,            0.063643,             0.20071,           0.0034939,             0.98193,             0.47228,             0.49448,             0.30788,            0.063972,             0.13741,           0.0025108,           0.0072872,           0.0072872,           0.0072872
                 113,            0.067488,             0.21378,           0.0032537,              0.9841,              0.4688,             0.49332,             0.28996,            0.062336,             0.13456,           0.0024777,           0.0072438,           0.0072438,           0.0072438
